Interaction_ID,Ticket_ID,Channel,Interaction_Date,Duration_Minutes,Messages_Exchanged,Bot_Handled,Transferred_To_Agent,Resolution_Achieved,Hold_Time_Minutes,Sentiment_Score,Duration_Tier,Sentiment_Tier
INT001553,TKT001553,Inbound Call,2022-06-26,6.6,,1,0,1,9.6,-0.83,Standard (5-15m),Negative
INT001554,TKT001554,Email,2022-11-29,0.5,5.0,0,0,0,,-0.25,Quick (0-5m),Neutral
INT001555,TKT001555,Social Media,2023-12-02,3.0,2.0,0,0,1,,-0.35,Quick (0-5m),Negative
INT001556,TKT001556,Outbound Call,2024-12-05,31.1,,0,1,0,2.1,0.95,Long (30m+),Positive
INT001557,TKT001557,Inbound Call,2024-12-31,17.4,,0,1,1,8.5,-0.21,Extended (15-30m),Neutral
INT001558,TKT001558,Outbound Call,2024-09-07,5.6,,0,0,1,8.5,-0.91,Standard (5-15m),Negative
INT001559,TKT001559,Live Chat,2023-12-21,15.6,16.0,1,1,0,,0.97,Extended (15-30m),Positive
INT001560,TKT001560,Social Media,2023-11-28,9.5,10.0,1,0,1,,0.57,Standard (5-15m),Positive
INT001561,TKT001561,Inbound Call,2024-06-04,34.9,,1,0,0,8.3,1.0,Long (30m+),Positive
INT001562,TKT001562,Live Chat,2024-11-15,10.7,6.0,0,1,1,,-0.36,Standard (5-15m),Negative
INT001563,TKT001563,Inbound Call,2023-03-11,28.7,,0,0,1,6.9,-0.76,Extended (15-30m),Negative
INT001564,TKT001564,Live Chat,2023-01-25,27.5,4.0,1,0,1,,-0.2,Extended (15-30m),Neutral
INT001565,TKT001565,Chatbot,2024-09-17,1.4,21.0,1,1,1,,-0.72,Quick (0-5m),Negative
INT001566,TKT001566,Live Chat,2022-05-18,14.6,25.0,0,1,1,,-0.71,Standard (5-15m),Negative
INT001567,TKT001567,Email,2023-04-10,0.6,3.0,0,0,1,,0.81,Quick (0-5m),Positive
INT001568,TKT001568,Inbound Call,2024-10-09,15.5,,0,0,1,2.8,0.99,Extended (15-30m),Positive
INT001569,TKT001569,Live Chat,2024-07-26,13.9,16.0,0,0,0,,0.99,Standard (5-15m),Positive
INT001570,TKT001570,Social Media,2023-10-22,4.6,9.0,0,0,1,,-0.12,Quick (0-5m),Neutral
INT001571,TKT001571,Live Chat,2024-01-26,17.7,24.0,0,0,1,,-0.52,Extended (15-30m),Negative
INT001572,TKT001572,Inbound Call,2022-03-27,11.1,,0,0,0,8.1,-0.66,Standard (5-15m),Negative
INT001573,TKT001573,Inbound Call,2024-07-16,39.7,,0,0,1,7.2,-0.24,Long (30m+),Neutral
INT001574,TKT001574,Outbound Call,2022-01-08,22.1,,1,0,1,7.7,0.2,Extended (15-30m),Neutral
INT001575,TKT001575,Live Chat,2023-12-29,12.9,8.0,0,1,1,,0.49,Standard (5-15m),Positive
INT001576,TKT001576,Inbound Call,2024-02-02,35.4,,0,0,1,3.3,0.03,Long (30m+),Neutral
INT001577,TKT001577,Chatbot,2023-11-25,6.2,5.0,1,1,1,,0.69,Standard (5-15m),Positive
INT001578,TKT001578,Inbound Call,2022-01-16,17.8,,0,0,1,7.1,0.84,Extended (15-30m),Positive
INT001579,TKT001579,Inbound Call,2024-08-07,19.1,,1,0,1,7.1,0.77,Extended (15-30m),Positive
INT001580,TKT001580,Email,2022-10-02,1.9,3.0,1,0,1,,-0.26,Quick (0-5m),Neutral
INT001581,TKT001581,Outbound Call,2024-12-02,5.5,,0,1,1,8.6,0.9,Standard (5-15m),Positive
INT001582,TKT001582,Live Chat,2022-08-27,10.6,5.0,1,1,1,,0.85,Standard (5-15m),Positive
INT001583,TKT001583,Social Media,2022-10-06,5.1,2.0,0,0,1,,-0.18,Standard (5-15m),Neutral
INT001584,TKT001584,Social Media,2024-10-09,5.8,5.0,0,1,1,,-0.16,Standard (5-15m),Neutral
INT001585,TKT001585,Inbound Call,2023-11-29,23.2,,1,0,1,3.8,-0.84,Extended (15-30m),Negative
INT001586,TKT001586,Live Chat,2022-03-08,15.5,11.0,0,0,0,,0.87,Extended (15-30m),Positive
INT001587,TKT001587,Social Media,2023-10-12,5.7,4.0,0,0,0,,-0.82,Standard (5-15m),Negative
INT001588,TKT001588,Inbound Call,2023-10-02,40.3,,0,1,1,8.2,-0.02,Long (30m+),Neutral
INT001589,TKT001589,Inbound Call,2024-05-21,12.7,,1,0,1,6.4,0.44,Standard (5-15m),Positive
INT001590,TKT001590,Live Chat,2022-03-21,12.2,3.0,0,1,0,,0.76,Standard (5-15m),Positive
INT001591,TKT001591,Inbound Call,2022-04-23,28.6,,0,0,1,9.8,0.14,Extended (15-30m),Neutral
INT001592,TKT001592,Inbound Call,2022-10-08,9.9,,1,0,1,1.2,0.37,Standard (5-15m),Positive
INT001593,TKT001593,Inbound Call,2023-06-13,17.8,,0,1,0,7.4,0.42,Extended (15-30m),Positive
INT001594,TKT001594,Chatbot,2022-11-10,9.8,11.0,1,1,1,,-0.97,Standard (5-15m),Negative
INT001595,TKT001595,Inbound Call,2023-11-28,12.9,,1,0,1,2.9,0.88,Standard (5-15m),Positive
INT001596,TKT001596,Live Chat,2022-06-02,21.7,23.0,0,1,0,,-0.28,Extended (15-30m),Neutral
INT001597,TKT001597,Outbound Call,2024-01-16,7.2,,1,0,1,4.1,-0.64,Standard (5-15m),Negative
INT001598,TKT001598,Live Chat,2024-10-17,13.0,7.0,0,0,1,,-0.05,Standard (5-15m),Neutral
INT001599,TKT001599,Outbound Call,2023-09-07,23.9,,0,0,1,8.3,0.47,Extended (15-30m),Positive
INT001600,TKT001600,Outbound Call,2022-02-16,43.4,,0,1,0,9.5,0.65,Long (30m+),Positive
INT001601,TKT001601,Chatbot,2023-08-07,2.3,6.0,1,0,1,,0.44,Quick (0-5m),Positive
INT001602,TKT001602,Outbound Call,2023-01-14,20.7,,0,0,1,9.2,-0.2,Extended (15-30m),Neutral
INT001603,TKT001603,Inbound Call,2022-07-10,11.3,,0,1,0,4.1,0.36,Standard (5-15m),Positive
INT001604,TKT001604,Email,2024-12-11,3.3,1.0,1,0,1,,-0.14,Quick (0-5m),Neutral
INT001605,TKT001605,Live Chat,2022-07-25,14.7,4.0,0,1,0,,0.97,Standard (5-15m),Positive
INT001606,TKT001606,Chatbot,2022-08-21,4.5,24.0,1,0,1,,0.99,Quick (0-5m),Positive
INT001607,TKT001607,Inbound Call,2023-06-26,8.2,,0,0,1,9.9,-0.5,Standard (5-15m),Negative
INT001608,TKT001608,Live Chat,2023-10-14,11.4,10.0,0,0,1,,-0.03,Standard (5-15m),Neutral
INT001609,TKT001609,Chatbot,2023-01-10,8.4,25.0,1,0,1,,0.15,Standard (5-15m),Neutral
INT001610,TKT001610,Live Chat,2023-03-11,25.3,14.0,0,1,0,,0.27,Extended (15-30m),Neutral
INT001611,TKT001611,Outbound Call,2022-06-11,5.0,,0,1,1,1.1,-0.13,Quick (0-5m),Neutral
INT001612,TKT001612,Social Media,2022-04-11,2.8,5.0,0,0,1,,0.05,Quick (0-5m),Neutral
INT001613,TKT001613,Inbound Call,2023-09-30,38.1,,1,0,1,6.4,0.11,Long (30m+),Neutral
INT001614,TKT001614,Social Media,2022-06-13,5.5,5.0,1,1,1,,-0.22,Standard (5-15m),Neutral
INT001615,TKT001615,Outbound Call,2023-09-01,6.6,,1,0,1,5.0,-0.36,Standard (5-15m),Negative
INT001616,TKT001616,Chatbot,2023-09-02,8.1,10.0,1,1,0,,0.27,Standard (5-15m),Neutral
INT001617,TKT001617,Live Chat,2024-04-06,13.4,17.0,0,0,0,,-0.12,Standard (5-15m),Neutral
INT001618,TKT001618,Email,2023-10-01,4.5,4.0,0,0,1,,0.94,Quick (0-5m),Positive
INT001619,TKT001619,Social Media,2022-07-10,8.5,3.0,0,1,0,,-0.25,Standard (5-15m),Neutral
INT001620,TKT001620,Live Chat,2023-11-14,20.8,16.0,0,0,1,,-0.61,Extended (15-30m),Negative
INT001621,TKT001621,Live Chat,2022-04-17,29.5,7.0,1,0,1,,-0.15,Extended (15-30m),Neutral
INT001622,TKT001622,Chatbot,2022-05-21,7.9,14.0,1,0,1,,0.31,Standard (5-15m),Positive
INT001623,TKT001623,Live Chat,2022-01-09,7.5,8.0,0,0,0,,-0.12,Standard (5-15m),Neutral
INT001624,TKT001624,Inbound Call,2024-09-03,15.8,,0,0,0,4.7,-0.43,Extended (15-30m),Negative
INT001625,TKT001625,Email,2024-08-18,2.1,7.0,0,1,1,,-0.01,Quick (0-5m),Neutral
INT001626,TKT001626,Inbound Call,2024-04-11,39.9,,0,1,0,7.7,-0.11,Long (30m+),Neutral
INT001627,TKT001627,Inbound Call,2022-08-07,7.7,,0,1,0,0.5,0.89,Standard (5-15m),Positive
INT001628,TKT001628,Email,2022-11-22,4.4,8.0,0,1,0,,-0.96,Quick (0-5m),Negative
INT001629,TKT001629,Social Media,2023-05-23,9.9,1.0,0,1,1,,-0.21,Standard (5-15m),Neutral
INT001630,TKT001630,Inbound Call,2023-11-16,25.3,,0,1,1,5.1,-0.32,Extended (15-30m),Negative
INT001631,TKT001631,Live Chat,2023-01-15,24.1,12.0,1,0,1,,-0.55,Extended (15-30m),Negative
INT001632,TKT001632,Inbound Call,2022-08-01,4.6,,0,0,1,6.4,0.09,Quick (0-5m),Neutral
INT001633,TKT001633,Live Chat,2022-02-04,26.8,19.0,0,1,1,,0.23,Extended (15-30m),Neutral
INT001634,TKT001634,Inbound Call,2023-03-24,42.9,,0,0,1,6.4,-0.98,Long (30m+),Negative
INT001635,TKT001635,Inbound Call,2022-09-17,23.8,,0,0,0,2.2,0.35,Extended (15-30m),Positive
INT001636,TKT001636,Inbound Call,2024-11-09,8.1,,0,0,1,9.9,-0.23,Standard (5-15m),Neutral
INT001637,TKT001637,Inbound Call,2024-04-15,15.5,,0,0,1,6.1,0.85,Extended (15-30m),Positive
INT001638,TKT001638,Live Chat,2024-12-07,11.4,25.0,0,1,1,,0.49,Standard (5-15m),Positive
INT001639,TKT001639,Social Media,2023-01-20,10.5,9.0,0,0,1,,0.03,Standard (5-15m),Neutral
INT001640,TKT001640,Email,2023-05-03,2.8,3.0,1,0,1,,0.9,Quick (0-5m),Positive
INT001641,TKT001641,Social Media,2024-05-30,2.0,7.0,0,0,1,,0.37,Quick (0-5m),Positive
INT001642,TKT001642,Inbound Call,2024-03-06,8.6,,0,0,1,4.4,0.62,Standard (5-15m),Positive
INT001643,TKT001643,Chatbot,2024-12-16,8.0,16.0,1,0,1,,0.91,Standard (5-15m),Positive
INT001644,TKT001644,Email,2023-12-07,3.7,2.0,0,0,1,,0.78,Quick (0-5m),Positive
INT001645,TKT001645,Inbound Call,2024-04-08,31.9,,1,0,1,0.9,-0.86,Long (30m+),Negative
INT001646,TKT001646,Chatbot,2024-04-22,9.6,10.0,1,1,1,,-0.58,Standard (5-15m),Negative
INT001647,TKT001647,Outbound Call,2023-08-13,34.4,,1,0,1,0.8,0.26,Long (30m+),Neutral
INT001648,TKT001648,Social Media,2023-05-26,4.7,10.0,1,0,1,,-0.68,Quick (0-5m),Negative
INT001649,TKT001649,Inbound Call,2022-09-13,4.7,,0,0,1,0.6,-0.07,Quick (0-5m),Neutral
INT001650,TKT001650,Outbound Call,2024-05-10,5.9,,0,1,1,6.1,-0.04,Standard (5-15m),Neutral
INT001651,TKT001651,Live Chat,2024-10-16,22.0,16.0,0,0,0,,-0.07,Extended (15-30m),Neutral
INT001652,TKT001652,Inbound Call,2022-08-23,19.6,,0,0,1,4.0,0.65,Extended (15-30m),Positive
INT001653,TKT001653,Chatbot,2023-01-27,1.7,15.0,1,0,1,,-0.02,Quick (0-5m),Neutral
INT001654,TKT001654,Email,2023-06-03,4.3,4.0,0,0,0,,0.74,Quick (0-5m),Positive
INT001655,TKT001655,Email,2022-09-20,4.4,4.0,0,1,0,,0.55,Quick (0-5m),Positive
INT001656,TKT001656,Outbound Call,2023-01-13,15.0,,0,1,1,5.1,0.28,Standard (5-15m),Neutral
INT001657,TKT001657,Email,2022-09-03,1.5,6.0,0,0,1,,0.16,Quick (0-5m),Neutral
INT001658,TKT001658,Social Media,2023-05-25,12.9,7.0,0,0,0,,-0.54,Standard (5-15m),Negative
INT001659,TKT001659,Social Media,2022-03-24,5.6,4.0,0,0,1,,0.54,Standard (5-15m),Positive
INT001660,TKT001660,Outbound Call,2023-05-27,19.7,,1,1,0,8.2,0.61,Extended (15-30m),Positive
INT001661,TKT001661,Inbound Call,2022-04-06,4.7,,1,1,0,0.9,-0.02,Quick (0-5m),Neutral
INT001662,TKT001662,Chatbot,2022-05-28,6.8,25.0,1,0,1,,-0.56,Standard (5-15m),Negative
INT001663,TKT001663,Social Media,2024-03-19,5.9,6.0,0,0,0,,0.52,Standard (5-15m),Positive
INT001664,TKT001664,Email,2023-03-23,1.1,4.0,1,0,1,,0.6,Quick (0-5m),Positive
INT001665,TKT001665,Live Chat,2022-08-19,14.4,23.0,0,0,1,,0.13,Standard (5-15m),Neutral
INT001666,TKT001666,Outbound Call,2022-01-06,27.0,,0,0,1,8.0,0.39,Extended (15-30m),Positive
INT001667,TKT001667,Outbound Call,2023-03-07,21.7,,0,0,1,6.0,0.55,Extended (15-30m),Positive
INT001668,TKT001668,Live Chat,2022-08-15,6.6,12.0,1,1,1,,-0.42,Standard (5-15m),Negative
INT001669,TKT001669,Chatbot,2022-01-29,8.6,11.0,1,0,1,,-0.43,Standard (5-15m),Negative
INT001670,TKT001670,Inbound Call,2022-08-08,30.2,,0,1,0,3.4,0.42,Long (30m+),Positive
INT001671,TKT001671,Live Chat,2023-02-27,24.3,25.0,1,1,1,,0.02,Extended (15-30m),Neutral
INT001672,TKT001672,Email,2022-10-23,1.3,2.0,0,1,1,,0.02,Quick (0-5m),Neutral
INT001673,TKT001673,Chatbot,2022-09-10,7.9,9.0,1,0,1,,0.92,Standard (5-15m),Positive
INT001674,TKT001674,Inbound Call,2023-10-28,36.0,,0,1,1,7.5,0.6,Long (30m+),Positive
INT001675,TKT001675,Inbound Call,2024-02-15,12.4,,0,0,0,2.8,-0.49,Standard (5-15m),Negative
INT001676,TKT001676,Chatbot,2024-11-28,1.8,12.0,1,1,1,,-0.19,Quick (0-5m),Neutral
INT001677,TKT001677,Live Chat,2023-07-18,6.4,10.0,0,0,1,,0.66,Standard (5-15m),Positive
INT001678,TKT001678,Inbound Call,2023-02-17,7.2,,1,0,1,4.4,-0.85,Standard (5-15m),Negative
INT001679,TKT001679,Live Chat,2022-10-26,17.4,14.0,0,0,1,,-0.36,Extended (15-30m),Negative
INT001680,TKT001680,Email,2024-03-08,1.6,1.0,0,1,1,,-0.32,Quick (0-5m),Negative
INT001681,TKT001681,Live Chat,2023-01-21,6.5,12.0,0,0,1,,-0.22,Standard (5-15m),Neutral
INT001682,TKT001682,Live Chat,2023-05-13,18.6,6.0,1,0,1,,-0.48,Extended (15-30m),Negative
INT001683,TKT001683,Inbound Call,2024-09-28,19.0,,0,1,1,3.2,0.28,Extended (15-30m),Neutral
INT001684,TKT001684,Inbound Call,2024-06-14,24.1,,0,0,1,4.0,-0.21,Extended (15-30m),Neutral
INT001685,TKT001685,Email,2023-06-01,1.5,5.0,0,0,0,,0.08,Quick (0-5m),Neutral
INT001686,TKT001686,Inbound Call,2024-06-06,17.1,,0,1,1,5.2,-0.45,Extended (15-30m),Negative
INT001687,TKT001687,Inbound Call,2022-11-21,11.5,,0,1,1,6.6,0.72,Standard (5-15m),Positive
INT001688,TKT001688,Inbound Call,2022-05-03,12.8,,1,0,0,9.6,-0.59,Standard (5-15m),Negative
INT001689,TKT001689,Chatbot,2024-07-28,9.5,15.0,1,0,1,,0.75,Standard (5-15m),Positive
INT001690,TKT001690,Social Media,2023-08-16,8.8,8.0,1,0,1,,-0.64,Standard (5-15m),Negative
INT001691,TKT001691,Live Chat,2024-04-26,18.7,14.0,0,0,0,,-0.26,Extended (15-30m),Neutral
INT001692,TKT001692,Email,2023-08-12,2.2,3.0,1,0,0,,0.56,Quick (0-5m),Positive
INT001693,TKT001693,Inbound Call,2023-08-04,12.3,,1,0,0,3.5,-0.01,Standard (5-15m),Neutral
INT001694,TKT001694,Social Media,2022-12-29,1.4,8.0,1,1,1,,-0.53,Quick (0-5m),Negative
INT001695,TKT001695,Outbound Call,2022-01-29,32.4,,0,0,1,4.4,0.33,Long (30m+),Positive
INT001696,TKT001696,Chatbot,2024-12-20,2.2,5.0,1,0,1,,-0.74,Quick (0-5m),Negative
INT001697,TKT001697,Live Chat,2024-07-19,17.6,8.0,0,0,1,,-0.57,Extended (15-30m),Negative
INT001698,TKT001698,Inbound Call,2023-09-13,16.4,,0,0,1,2.5,-0.49,Extended (15-30m),Negative
INT001699,TKT001699,Email,2023-04-05,3.1,7.0,0,0,0,,0.17,Quick (0-5m),Neutral
INT001700,TKT001700,Live Chat,2023-02-16,9.6,20.0,1,0,1,,0.1,Standard (5-15m),Neutral
INT001701,TKT001701,Social Media,2023-07-19,7.6,8.0,0,0,1,,0.04,Standard (5-15m),Neutral
INT001702,TKT001702,Live Chat,2024-03-10,7.8,7.0,0,1,1,,-0.81,Standard (5-15m),Negative
INT001703,TKT001703,Inbound Call,2022-11-25,4.0,,0,0,1,1.1,0.56,Quick (0-5m),Positive
INT001704,TKT001704,Chatbot,2023-03-28,7.9,14.0,1,1,1,,-0.74,Standard (5-15m),Negative
INT001705,TKT001705,Chatbot,2022-10-01,6.5,24.0,1,1,1,,0.88,Standard (5-15m),Positive
INT001706,TKT001706,Inbound Call,2023-04-26,17.7,,0,0,0,4.4,-0.87,Extended (15-30m),Negative
INT001707,TKT001707,Live Chat,2024-09-22,12.6,9.0,0,1,1,,0.76,Standard (5-15m),Positive
INT001708,TKT001708,Outbound Call,2023-03-25,44.5,,1,1,0,6.7,-0.4,Long (30m+),Negative
INT001709,TKT001709,Inbound Call,2024-11-09,16.4,,1,1,1,0.1,0.4,Extended (15-30m),Positive
INT001710,TKT001710,Inbound Call,2022-10-24,21.0,,0,0,1,9.7,-0.33,Extended (15-30m),Negative
INT001711,TKT001711,Inbound Call,2023-07-03,7.2,,1,0,1,8.0,0.44,Standard (5-15m),Positive
INT001712,TKT001712,Outbound Call,2024-01-30,17.3,,0,0,1,3.1,-0.04,Extended (15-30m),Neutral
INT001713,TKT001713,Live Chat,2023-06-06,14.1,13.0,1,0,1,,0.05,Standard (5-15m),Neutral
INT001714,TKT001714,Inbound Call,2022-07-22,9.2,,0,1,1,0.1,0.43,Standard (5-15m),Positive
INT001715,TKT001715,Social Media,2024-11-23,8.5,6.0,0,0,0,,-0.73,Standard (5-15m),Negative
INT001716,TKT001716,Email,2024-04-06,4.8,5.0,0,0,1,,-0.47,Quick (0-5m),Negative
INT001717,TKT001717,Inbound Call,2022-05-09,38.5,,0,1,0,0.7,0.68,Long (30m+),Positive
INT001718,TKT001718,Outbound Call,2022-08-08,42.8,,0,0,1,5.5,0.58,Long (30m+),Positive
INT001719,TKT001719,Email,2023-08-03,0.5,2.0,0,1,1,,0.98,Quick (0-5m),Positive
INT001720,TKT001720,Live Chat,2023-05-16,7.2,9.0,0,0,1,,-0.95,Standard (5-15m),Negative
INT001721,TKT001721,Live Chat,2024-12-21,18.0,22.0,1,0,1,,-0.72,Extended (15-30m),Negative
INT001722,TKT001722,Inbound Call,2024-10-14,5.9,,0,0,1,1.4,-0.33,Standard (5-15m),Negative
INT001723,TKT001723,Social Media,2022-01-07,7.5,4.0,0,1,1,,0.39,Standard (5-15m),Positive
INT001724,TKT001724,Live Chat,2022-02-10,21.2,13.0,1,0,1,,-0.37,Extended (15-30m),Negative
INT001725,TKT001725,Chatbot,2024-05-09,4.1,18.0,1,1,0,,-0.31,Quick (0-5m),Negative
INT001726,TKT001726,Chatbot,2023-11-30,8.6,9.0,1,0,0,,-0.55,Standard (5-15m),Negative
INT001727,TKT001727,Outbound Call,2024-09-12,4.5,,1,1,0,9.1,0.82,Quick (0-5m),Positive
INT001728,TKT001728,Live Chat,2023-01-19,7.4,23.0,0,0,1,,0.1,Standard (5-15m),Neutral
INT001729,TKT001729,Inbound Call,2023-09-20,28.0,,0,0,1,0.3,-0.68,Extended (15-30m),Negative
INT001730,TKT001730,Live Chat,2024-05-20,16.0,3.0,0,1,1,,0.16,Extended (15-30m),Neutral
INT001731,TKT001731,Live Chat,2023-07-11,15.9,21.0,0,0,1,,-0.68,Extended (15-30m),Negative
INT001732,TKT001732,Email,2023-02-13,1.0,1.0,0,0,1,,-0.46,Quick (0-5m),Negative
INT001733,TKT001733,Email,2024-04-03,3.0,7.0,0,1,1,,0.39,Quick (0-5m),Positive
INT001734,TKT001734,Chatbot,2024-01-01,1.2,10.0,1,1,1,,0.52,Quick (0-5m),Positive
INT001735,TKT001735,Inbound Call,2024-02-18,18.8,,0,0,0,0.9,-0.13,Extended (15-30m),Neutral
INT001736,TKT001736,Live Chat,2023-02-06,27.2,14.0,0,1,0,,-0.67,Extended (15-30m),Negative
INT001737,TKT001737,Inbound Call,2023-10-28,8.7,,1,1,1,3.4,-0.58,Standard (5-15m),Negative
INT001738,TKT001738,Email,2023-11-20,1.4,1.0,0,0,1,,0.08,Quick (0-5m),Neutral
INT001739,TKT001739,Email,2024-08-23,4.5,4.0,0,1,1,,0.18,Quick (0-5m),Neutral
INT001740,TKT001740,Social Media,2024-12-26,3.1,6.0,0,1,1,,0.74,Quick (0-5m),Positive
INT001741,TKT001741,Inbound Call,2024-10-06,37.0,,0,0,0,4.9,-0.46,Long (30m+),Negative
INT001742,TKT001742,Social Media,2024-06-01,13.3,6.0,1,1,1,,0.22,Standard (5-15m),Neutral
INT001743,TKT001743,Inbound Call,2022-02-03,41.7,,0,1,1,6.4,-0.99,Long (30m+),Negative
INT001744,TKT001744,Social Media,2022-06-06,8.6,6.0,1,1,1,,-0.06,Standard (5-15m),Neutral
INT001745,TKT001745,Live Chat,2022-10-08,22.9,3.0,0,0,1,,-0.2,Extended (15-30m),Neutral
INT001746,TKT001746,Inbound Call,2024-04-21,38.7,,0,0,0,3.8,-0.76,Long (30m+),Negative
INT001747,TKT001747,Live Chat,2023-02-24,25.1,15.0,0,0,1,,0.78,Extended (15-30m),Positive
INT001748,TKT001748,Inbound Call,2024-04-24,16.7,,1,0,1,1.1,-0.78,Extended (15-30m),Negative
INT001749,TKT001749,Chatbot,2022-05-29,2.9,23.0,1,1,1,,-0.47,Quick (0-5m),Negative
INT001750,TKT001750,Outbound Call,2024-06-22,9.4,,1,0,1,2.4,0.47,Standard (5-15m),Positive
INT001751,TKT001751,Inbound Call,2022-10-05,43.9,,1,0,0,3.6,-0.64,Long (30m+),Negative
INT001752,TKT001752,Inbound Call,2023-03-16,32.4,,0,0,1,0.3,-0.85,Long (30m+),Negative
INT001753,TKT001753,Live Chat,2024-01-30,15.2,20.0,0,0,1,,0.94,Extended (15-30m),Positive
INT001754,TKT001754,Email,2022-03-16,1.7,7.0,1,0,1,,-0.41,Quick (0-5m),Negative
INT001755,TKT001755,Social Media,2022-01-24,12.8,2.0,0,0,1,,-0.88,Standard (5-15m),Negative
INT001756,TKT001756,Outbound Call,2024-04-17,35.8,,0,1,1,7.1,-0.72,Long (30m+),Negative
INT001757,TKT001757,Chatbot,2023-07-29,7.3,6.0,1,1,1,,-0.56,Standard (5-15m),Negative
INT001758,TKT001758,Email,2024-07-10,1.7,2.0,0,0,0,,0.92,Quick (0-5m),Positive
INT001759,TKT001759,Chatbot,2022-07-11,3.3,8.0,1,0,1,,-0.97,Quick (0-5m),Negative
INT001760,TKT001760,Social Media,2023-04-30,10.2,1.0,1,1,1,,0.59,Standard (5-15m),Positive
INT001761,TKT001761,Outbound Call,2022-09-01,10.1,,1,0,1,4.5,0.56,Standard (5-15m),Positive
INT001762,TKT001762,Live Chat,2023-05-28,12.9,5.0,1,0,0,,-0.0,Standard (5-15m),Neutral
INT001763,TKT001763,Inbound Call,2023-05-09,15.0,,0,1,1,5.5,0.87,Standard (5-15m),Positive
INT001764,TKT001764,Inbound Call,2024-09-01,40.9,,0,0,1,7.8,-0.97,Long (30m+),Negative
INT001765,TKT001765,Chatbot,2023-07-22,3.7,6.0,1,0,1,,-0.01,Quick (0-5m),Neutral
INT001766,TKT001766,Live Chat,2022-12-09,28.4,16.0,0,1,1,,-0.49,Extended (15-30m),Negative
INT001767,TKT001767,Inbound Call,2022-01-14,37.2,,0,0,1,6.1,0.52,Long (30m+),Positive
INT001768,TKT001768,Outbound Call,2023-03-20,21.0,,0,0,1,1.7,-0.65,Extended (15-30m),Negative
INT001769,TKT001769,Inbound Call,2023-11-09,31.9,,1,1,1,6.6,0.75,Long (30m+),Positive
INT001770,TKT001770,Inbound Call,2022-07-01,7.5,,1,0,1,0.2,-0.19,Standard (5-15m),Neutral
INT001771,TKT001771,Outbound Call,2023-04-15,26.4,,0,1,1,6.9,-0.73,Extended (15-30m),Negative
INT001772,TKT001772,Outbound Call,2023-07-23,5.0,,0,0,0,2.5,-0.93,Quick (0-5m),Negative
INT001773,TKT001773,Inbound Call,2024-05-24,23.5,,0,0,0,2.6,0.38,Extended (15-30m),Positive
INT001774,TKT001774,Live Chat,2023-12-16,26.7,23.0,0,0,0,,0.86,Extended (15-30m),Positive
INT001775,TKT001775,Social Media,2024-07-15,3.7,1.0,1,0,0,,0.94,Quick (0-5m),Positive
INT001776,TKT001776,Live Chat,2022-12-03,6.5,21.0,0,0,0,,0.75,Standard (5-15m),Positive
INT001777,TKT001777,Email,2022-07-19,4.1,5.0,1,1,1,,-0.22,Quick (0-5m),Neutral
INT001778,TKT001778,Live Chat,2022-02-13,17.7,12.0,0,0,1,,0.81,Extended (15-30m),Positive
INT001779,TKT001779,Chatbot,2023-07-18,5.5,21.0,1,0,1,,0.29,Standard (5-15m),Neutral
INT001780,TKT001780,Social Media,2022-12-19,1.5,7.0,1,0,0,,-0.87,Quick (0-5m),Negative
INT001781,TKT001781,Inbound Call,2023-04-25,35.5,,1,0,1,7.3,-0.66,Long (30m+),Negative
INT001782,TKT001782,Inbound Call,2022-04-03,15.5,,0,1,1,5.7,-0.23,Extended (15-30m),Neutral
INT001783,TKT001783,Inbound Call,2023-01-03,24.9,,0,0,1,1.9,-0.39,Extended (15-30m),Negative
INT001784,TKT001784,Live Chat,2023-03-05,6.7,9.0,1,0,1,,-0.33,Standard (5-15m),Negative
INT001785,TKT001785,Live Chat,2022-09-29,14.0,20.0,0,0,0,,0.47,Standard (5-15m),Positive
INT001786,TKT001786,Email,2024-08-01,4.7,8.0,0,0,1,,-0.88,Quick (0-5m),Negative
INT001787,TKT001787,Social Media,2024-07-09,14.0,4.0,1,0,1,,0.21,Standard (5-15m),Neutral
INT001788,TKT001788,Social Media,2022-10-03,10.2,8.0,0,0,0,,-0.33,Standard (5-15m),Negative
INT001789,TKT001789,Inbound Call,2022-08-30,44.1,,0,1,1,8.6,0.76,Long (30m+),Positive
INT001790,TKT001790,Email,2023-02-23,4.2,4.0,1,1,0,,-0.89,Quick (0-5m),Negative
INT001791,TKT001791,Social Media,2023-09-06,11.1,8.0,1,0,1,,0.94,Standard (5-15m),Positive
INT001792,TKT001792,Live Chat,2024-06-03,16.9,3.0,0,0,0,,-0.84,Extended (15-30m),Negative
INT001793,TKT001793,Inbound Call,2022-05-10,33.4,,0,0,0,9.6,-0.13,Long (30m+),Neutral
INT001794,TKT001794,Live Chat,2024-08-28,6.4,14.0,0,0,0,,0.71,Standard (5-15m),Positive
INT001795,TKT001795,Live Chat,2022-01-16,13.4,5.0,0,0,0,,-0.36,Standard (5-15m),Negative
INT001796,TKT001796,Inbound Call,2024-02-07,3.6,,0,0,1,0.9,0.7,Quick (0-5m),Positive
INT001797,TKT001797,Live Chat,2024-12-27,5.1,6.0,1,0,1,,0.93,Standard (5-15m),Positive
